Королёв,,,44,72,106,114,159,143,183,221,228,,227,,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%91%D0%B2_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4)
Энгельс,20,34,69,91,130,163,181,194,202,224,225,223,223,,https://ru.wikipedia.org/wiki/%D0%AD%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81_(%D0%A1%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C)
Великий Новгород,26,33,40,61,128,185,229,217,219,222,224,,223,,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B8%D0%B9_%D0%9D%D0%BE%D0%B2%D0%B3%D0%BE%D1%80%D0%BE%D0%B4
Шахты,16,49,135,196,205,209,226,223,240,237,226,226,222,,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D1%85%D1%82%D1%8B
Братск,,,,43,155,215,256,251,246,234,224,222,221,,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D1%82%D1%81%D0%BA
Сыктывкар,4,5,24,69,125,184,232,230,235,244,221,,220,,https://ru.wikipedia.org/wiki/%D0%A1%D1%8B%D0%BA%D1%82%D1%8B%D0%B2%D0%BA%D0%B0%D1%80
Ангарск,,,,135,203,240,265,247,234,227,221,220,218,,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B3%D0%B0%D1%80%D1%81%D0%BA
Старый Оскол,16,20,11,27,52,116,174,216,221,222,222,221,218,,https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%80%D1%8B%D0%B9_%D0%9E%D1%81%D0%BA%D0%BE%D0%BB
Дзержинск,,9,103,164,221,258,285,261,241,233,219,,217,,https://ru.wikipedia.org/wiki/%D0%94%D0%B7%D0%B5%D1%80%D0%B6%D0%B8%D0%BD%D1%81%D0%BA_(%D0%9D%D0%B8%D0%B6%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C)
Псков,30,43,60,81,127,175,204,203,203,208,193,,189,,https://ru.wikipedia.org/wiki/%D0%9F%D1%81%D0%BA%D0%BE%D0%B2
Красногорск,,,18,35,63,77,90,92,117,145,188,,189,,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA
Орск,14,14,66,176,225,247,271,251,240,231,189,,188,,https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D1%81%D0%BA
Одинцово,,3,13,20,67,101,125,135,139,141,181,,186,,https://ru.wikipedia.org/wiki/%D0%9E%D0%B4%D0%B8%D0%BD%D1%86%D0%BE%D0%B2%D0%BE
Абакан,,3,37,56,90,129,154,165,165,179,185,185,185,,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BA%D0%B0%D0%BD
Армавир,18,75,84,111,144,160,161,194,189,189,187,185,184,,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%80_(%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F)
Балаково,16,19,23,36,104,153,197,200,200,192,184,184,183,,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE
Бийск,17,46,80,146,186,210,233,219,210,204,184,182,182,,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D0%B9%D1%81%D0%BA
Южно-Сахалинск,,,,86,106,139,159,175,182,194,182,182,180,,https://ru.wikipedia.org/wiki/%D0%AE%D0%B6%D0%BD%D0%BE-%D0%A1%D0%B0%D1%85%D0%B0%D0%BB%D0%B8%D0%BD%D1%81%D0%BA
Уссурийск,11,35,72,104,128,146,157,158,158,169,180,,180,,https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D1%81%D1%83%D1%80%D0%B8%D0%B9%D1%81%D0%BA
Прокопьевск,,11,107,282,274,265,274,225,210,198,178,177,175,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%BA%D0%BE%D0%BF%D1%8C%D0%B5%D0%B2%D1%81%D0%BA
Норильск,,,14,118,135,187,175,135,175,177,174,,175,,https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%80%D0%B8%D0%BB%D1%8C%D1%81%D0%BA
Рыбинск,25,60,144,182,218,242,251,223,201,192,177,,174,,https://ru.wikipedia.org/wiki/%D0%A0%D1%8B%D0%B1%D0%B8%D0%BD%D1%81%D0%BA
Волгодонск,,,,16,28,92,176,166,171,171,168,168,166,,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%B3%D0%BE%D0%B4%D0%BE%D0%BD%D1%81%D0%BA
Альметьевск,,,,49,87,109,129,140,146,153,164,,164,,https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D0%BC%D0%B5%D1%82%D1%8C%D0%B5%D0%B2%D1%81%D0%BA
Сызрань,32,50,83,148,162,165,174,188,179,175,166,165,163,,https://ru.wikipedia.org/wiki/%D0%A1%D1%8B%D0%B7%D1%80%D0%B0%D0%BD%D1%8C
Петропавловск-Камчатский,"0,4",2,35,86,154,217,269,198,180,181,165,,163,,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%BF%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D1%81%D0%BA-%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9
Каменск-Уральский,,5,51,141,169,188,208,186,175,170,164,163,162,161,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D1%81%D0%BA-%D0%A3%D1%80%D0%B0%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9
Новочеркасск,52,62,81,123,162,182,188,171,169,170,164,164,161,,https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%87%D0%B5%D1%80%D0%BA%D0%B0%D1%81%D1%81%D0%BA
Златоуст,21,48,99,161,180,197,208,195,175,169,162,161,160,,https://ru.wikipedia.org/wiki/%D0%97%D0%BB%D0%B0%D1%82%D0%BE%D1%83%D1%81%D1%82_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4)
Хасавюрт,,,23,34,54,65,71,122,131,138,155,,157,,https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D1%81%D0%B0%D0%B2%D1%8E%D1%80%D1%82
Северодвинск,,,21,79,145,202,249,202,192,185,157,,156,,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%BD%D1%81%D0%BA
Домодедово,,,,28,36,47,55,56,96,117,152,,155,,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D0%BE%D0%B4%D0%B5%D0%B4%D0%BE%D0%B2%D0%BE_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4)
Керчь[Крым 1],35,35,104,99,128,157,174,,,149,155,,153,,https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D1%80%D1%87%D1%8C
Миасс,16,20,38,98,131,149,168,158,152,151,148,,147,,https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%B0%D1%81%D1%81
Салават,,,,61,114,138,150,159,156,154,149,,147,147,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BB%D0%B0%D0%B2%D0%B0%D1%82
Копейск,,9,45,161,156,79,79,73,138,146,148,,146,,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BF%D0%B5%D0%B9%D1%81%D0%BA
Пятигорск,18,41,62,70,93,102,129,141,143,143,146,,145,,https://ru.wikipedia.org/wiki/%D0%9F%D1%8F%D1%82%D0%B8%D0%B3%D0%BE%D1%80%D1%81%D0%BA
Электросталь,,,43,97,123,140,152,146,155,158,146,,143,,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%82%D0%B0%D0%BB%D1%8C
Майкоп,34,53,56,82,110,125,148,157,144,144,143,142,140,,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BA%D0%BE%D0%BF
Находка,,,,64,104,131,160,149,160,154,140,,136,,https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%85%D0%BE%D0%B4%D0%BA%D0%B0
Березники,,7,51,106,146,187,201,173,157,147,138,137,136,,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%B5%D0%B7%D0%BD%D0%B8%D0%BA%D0%B8
Щёлково,,12,27,58,78,100,109,113,110,124,134,,136,,https://ru.wikipedia.org/wiki/%D0%A9%D1%91%D0%BB%D0%BA%D0%BE%D0%B2%D0%BE
Серпухов,31,56,91,106,124,140,144,131,127,127,134,,134,,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%BF%D1%83%D1%85%D0%BE%D0%B2
Нефтекамск,,,,3,46,71,107,122,122,126,132,,133,,https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D1%84%D1%82%D0%B5%D0%BA%D0%B0%D0%BC%D1%81%D0%BA
Коломна,20,35,87,118,136,147,161,150,145,144,135,,133,,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BB%D0%BE%D0%BC%D0%BD%D0%B0
Ковров,15,27,67,99,123,145,160,155,145,139,132,,130,,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B2%D1%80%D0%BE%D0%B2
Обнинск,,,,16,49,73,100,106,105,111,125,,130,,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BD%D0%B8%D0%BD%D1%81%D0%BA
Кызыл,,,,34,52,66,85,104,110,116,125,127,128,,https://ru.wikipedia.org/wiki/%D0%9A%D1%8B%D0%B7%D1%8B%D0%BB
Кисловодск,,26,51,78,90,87,114,130,129,130,128,,127,,https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%81%D0%BB%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D0%BA
